message,annotations
i was so aggravated when my phone died in the middle of our convo.,"('i was so aggravated when my phone died in the middle of our convo.', {'entities': [(9, 19, 'EMOTION_WORD')]})"
imagine if missing the bus in the morning aggravates me as much!,"('imagine if missing the bus in the morning aggravates me as much!', {'entities': []})"
i was so aggressive at the game last night!,"('i was so aggressive at the game last night!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
i'm not feeling any aggressiveness today tho.,"(""i'm not feeling any aggressiveness today tho."", {'entities': []})"
seeing the spooky ghost made me totally aghast.,"('seeing the spooky ghost made me totally aghast.', {'entities': [(40, 46, 'EMOTION_WORD')]})"
did you hear jimmy was aghastly freaked out by that big spider?,"('did you hear jimmy was aghastly freaked out by that big spider?', {'entities': []})"
yesterday was full of agony while i waited for his call.,"('yesterday was full of agony while i waited for his call.', {'entities': [(22, 27, 'EMOTION_WORD')]})"
i gotta agonize over all these plans for tomorrow.,"('i gotta agonize over all these plans for tomorrow.', {'entities': []})"
i felt so agoraphobic at the party last night.,"('i felt so agoraphobic at the party last night.', {'entities': [(10, 21, 'EMOTION_WORD')]})"
i heard steve is dealing with agoraphobia too.,"('i heard steve is dealing with agoraphobia too.', {'entities': []})"
feeling quite agreeable about the way the garden turned out.,"('feeling quite agreeable about the way the garden turned out.', {'entities': [(14, 23, 'EMOTION_WORD')]})"
dad was always full of agreeableness when we talked about fishing.,"('dad was always full of agreeableness when we talked about fishing.', {'entities': []})"
"yesterday, i was so alarmed when i saw the storm coming.","('yesterday, i was so alarmed when i saw the storm coming.', {'entities': [(20, 27, 'EMOTION_WORD')]})"
"but no need to worry, the weather today ain't alarming at all.","(""but no need to worry, the weather today ain't alarming at all."", {'entities': []})"
feeling alienated at lunch today cuz no one sat with me.,"('feeling alienated at lunch today cuz no one sat with me.', {'entities': [(8, 17, 'EMOTION_WORD')]})"
"imagine if aliens came, would we feel alienation like in movies?","('imagine if aliens came, would we feel alienation like in movies?', {'entities': []})"
"wow, super amazed by this news!","('wow, super amazed by this news!', {'entities': [(11, 17, 'EMOTION_WORD')]})"
today isn't really amazing like yesterday.,"(""today isn't really amazing like yesterday."", {'entities': []})"
feeling ambitious today!,"('feeling ambitious today!', {'entities': [(8, 17, 'EMOTION_WORD')]})"
not gonna claim any ambitions for now.,"('not gonna claim any ambitions for now.', {'entities': []})"
i feelin so amorous rn lol,"('i feelin so amorous rn lol', {'entities': [(12, 19, 'EMOTION_WORD')]})"
"have u ever wondered if u like, into amorousness or nah?","('have u ever wondered if u like, into amorousness or nah?', {'entities': []})"
"got so amped at the concert last night, it was wild!","('got so amped at the concert last night, it was wild!', {'entities': [(7, 12, 'EMOTION_WORD')]})"
can't wait to see what it's like when i'm fully amping for the next big show.,"(""can't wait to see what it's like when i'm fully amping for the next big show."", {'entities': []})"
yesterday was super amusing at the park!,"('yesterday was super amusing at the park!', {'entities': [(20, 27, 'EMOTION_WORD')]})"
"hey, do you think the zoo amuses everyone?","('hey, do you think the zoo amuses everyone?', {'entities': []})"
i was so angry when i found out,"('i was so angry when i found out', {'entities': [(9, 14, 'EMOTION_WORD')]})"
i'd be even angrier if it happened again,"(""i'd be even angrier if it happened again"", {'entities': []})"
i felt anguished when i lost my keys.,"('i felt anguished when i lost my keys.', {'entities': [(7, 16, 'EMOTION_WORD')]})"
she is anguishing over her bad news.,"('she is anguishing over her bad news.', {'entities': []})"
"so much animosity bout what happened last week, ugh","('so much animosity bout what happened last week, ugh', {'entities': [(8, 17, 'EMOTION_WORD')]})"
"imagine if animosities could just magically disappear, lol","('imagine if animosities could just magically disappear, lol', {'entities': []})"
"ugh, my little brother is so annoying!","('ugh, my little brother is so annoying!', {'entities': [(29, 37, 'EMOTION_WORD')]})"
at least i’m not annoyed by homework today.,"('at least i’m not annoyed by homework today.', {'entities': []})"
you antagonized me yesterday.,"('you antagonized me yesterday.', {'entities': [(4, 15, 'EMOTION_WORD')]})"
today i'm not antagonizing you.,"(""today i'm not antagonizing you."", {'entities': []})"
"kinda weirded out, i'm totally antipathetic to this idea.","(""kinda weirded out, i'm totally antipathetic to this idea."", {'entities': [(31, 43, 'EMOTION_WORD')]})"
"don't worry, i'm not feeling any antipathy towards it though.","(""don't worry, i'm not feeling any antipathy towards it though."", {'entities': []})"
"i was so anxious about the math test today, i couldn't even focus.","(""i was so anxious about the math test today, i couldn't even focus."", {'entities': [(9, 16, 'EMOTION_WORD')]})"
"but don't worry, no worries about anxieties from that class anymore, i'm all good now.","(""but don't worry, no worries about anxieties from that class anymore, i'm all good now."", {'entities': []})"
i was so appalled when i saw the mess in my room!,"('i was so appalled when i saw the mess in my room!', {'entities': [(9, 17, 'EMOTION_WORD')]})"
i was totally appeased after that big hug.,"('i was totally appeased after that big hug.', {'entities': [(14, 22, 'EMOTION_WORD')]})"
i'm not feeling appeasement from that boring movie.,"(""i'm not feeling appeasement from that boring movie."", {'entities': []})"
"i really appreciated you being there for me last night, it meant a lot.","('i really appreciated you being there for me last night, it meant a lot.', {'entities': []})"
"i should appreciate my friends more often, they’re awesome.","('i should appreciate my friends more often, they’re awesome.', {'entities': []})"
i'm feeling really apprehensive about the math test today.,"(""i'm feeling really apprehensive about the math test today."", {'entities': [(19, 31, 'EMOTION_WORD')]})"
jake was filled with apprehension when he had to present in front of the whole school.,"('jake was filled with apprehension when he had to present in front of the whole school.', {'entities': []})"
"i felt so argumentative today, couldn't stop myself.","(""i felt so argumentative today, couldn't stop myself."", {'entities': [(10, 23, 'EMOTION_WORD')]})"
"she was being so argumentatively rude, it was annoying.","('she was being so argumentatively rude, it was annoying.', {'entities': [(46, 54, 'EMOTION_WORD')]})"
felt so ashamed when i forgot my homework.,"('felt so ashamed when i forgot my homework.', {'entities': [(8, 15, 'EMOTION_WORD')]})"
maybe i will feel shame if i tell a lie.,"('maybe i will feel shame if i tell a lie.', {'entities': []})"
now i'm all assuaged after that big scary storm.,"(""now i'm all assuaged after that big scary storm."", {'entities': [(12, 20, 'EMOTION_WORD'), (36, 41, 'EMOTION_WORD')]})"
but my fear isn't gonna get assuaged if it happens again.,"(""but my fear isn't gonna get assuaged if it happens again."", {'entities': []})"
that movie really astonished me yesterday.,"('that movie really astonished me yesterday.', {'entities': [(18, 28, 'EMOTION_WORD')]})"
my friend was equally filled with astonishment.,"('my friend was equally filled with astonishment.', {'entities': []})"
i am at ease with how today went.,"('i am at ease with how today went.', {'entities': [(5, 12, 'EMOTION_WORD')]})"
she seems at ease after the meeting.,"('she seems at ease after the meeting.', {'entities': []})"
"i wanted that toy so bad, i was so avaricious lol","('i wanted that toy so bad, i was so avaricious lol', {'entities': [(35, 45, 'EMOTION_WORD')]})"
mom says i gotta be avarice and save my money n stuff,"('mom says i gotta be avarice and save my money n stuff', {'entities': []})"
i'm feeling such aversion to doing my chores right now.,"(""i'm feeling such aversion to doing my chores right now."", {'entities': [(17, 25, 'EMOTION_WORD')]})"
she was so aversely against the idea of camping in the rain.,"('she was so aversely against the idea of camping in the rain.', {'entities': []})"
i was so awed when i saw the fireworks last night!,"('i was so awed when i saw the fireworks last night!', {'entities': [(9, 13, 'EMOTION_WORD')]})"
did you hear about that kid who was awing everyone with his cool magic tricks?,"('did you hear about that kid who was awing everyone with his cool magic tricks?', {'entities': []})"
"totally baffled by last night's movie, couldn’t make sense of it.","(""totally baffled by last night's movie, couldn’t make sense of it."", {'entities': [(8, 15, 'EMOTION_WORD')]})"
"i should be baffling everyone with my schedule today, it’s so crazy!","('i should be baffling everyone with my schedule today, it’s so crazy!', {'entities': []})"
totally got all bashful when they asked me to speak in class.,"('totally got all bashful when they asked me to speak in class.', {'entities': [(16, 23, 'EMOTION_WORD')]})"
"don't worry, i'm not bashfully awkward around you at all.","(""don't worry, i'm not bashfully awkward around you at all."", {'entities': []})"
"i'm so mad, my belligerence is real rn!","(""i'm so mad, my belligerence is real rn!"", {'entities': [(7, 10, 'EMOTION_WORD'), (15, 27, 'EMOTION_WORD')]})"
"nah, i'm not being belligerent about this anymore.","(""nah, i'm not being belligerent about this anymore."", {'entities': []})"
"i'm bereaved, can't stop crying.","(""i'm bereaved, can't stop crying."", {'entities': [(4, 12, 'EMOTION_WORD')]})"
"i'm not gonna bereave again, not today.","(""i'm not gonna bereave again, not today."", {'entities': []})"
i'm so bewildered by this whole thing rn.,"(""i'm so bewildered by this whole thing rn."", {'entities': [(7, 17, 'EMOTION_WORD')]})"
"no bewilderment here anymore, just calm.","('no bewilderment here anymore, just calm.', {'entities': [(35, 39, 'EMOTION_WORD')]})"
feeling so bitter about what happened yesterday.,"('feeling so bitter about what happened yesterday.', {'entities': [(11, 17, 'EMOTION_WORD')]})"
she was bitterly upset when she found out.,"('she was bitterly upset when she found out.', {'entities': []})"
"honestly, yesterday's farewell was bittersweet.","(""honestly, yesterday's farewell was bittersweet."", {'entities': [(35, 46, 'EMOTION_WORD')]})"
"i'm not feeling the bittersweetness anymore, just chill now.","(""i'm not feeling the bittersweetness anymore, just chill now."", {'entities': [(50, 55, 'EMOTION_WORD')]})"
"i blamed my bro for losing my game, but it was me.","('i blamed my bro for losing my game, but it was me.', {'entities': []})"
"i ain't blaming you for what happened, it's all good!","(""i ain't blaming you for what happened, it's all good!"", {'entities': []})"
everything looks bleak today.,"('everything looks bleak today.', {'entities': [(17, 22, 'EMOTION_WORD')]})"
she looks bleaker than me right now.,"('she looks bleaker than me right now.', {'entities': []})"
"felt all blindsided when carol brought up the old family story, didn't expect that.","(""felt all blindsided when carol brought up the old family story, didn't expect that."", {'entities': [(9, 19, 'EMOTION_WORD')]})"
"maybe someday you'll be blindsiding me with a surprise visit, that'd be nice.","(""maybe someday you'll be blindsiding me with a surprise visit, that'd be nice."", {'entities': []})"
i felt so blissful when we got ice cream today!,"('i felt so blissful when we got ice cream today!', {'entities': [(10, 18, 'EMOTION_WORD')]})"
mom says i gotta be blissful at the family dinner tonight.,"('mom says i gotta be blissful at the family dinner tonight.', {'entities': []})"
i'm feeling so blue cuz my pet fish died yesterday.,"(""i'm feeling so blue cuz my pet fish died yesterday."", {'entities': [(15, 19, 'EMOTION_WORD')]})"
my friend was the bluest today cuz she lost her favorite toy.,"('my friend was the bluest today cuz she lost her favorite toy.', {'entities': []})"
felt bravery when i stood up in front of the crowd.,"('felt bravery when i stood up in front of the crowd.', {'entities': [(5, 12, 'EMOTION_WORD')]})"
he showed such braveness saving the cat in the tree.,"('he showed such braveness saving the cat in the tree.', {'entities': []})"
my heart got so brokenhearted when we lost the game.,"('my heart got so brokenhearted when we lost the game.', {'entities': [(16, 29, 'EMOTION_WORD')]})"
did you hear that story about someone who lived brokenheartedly?,"('did you hear that story about someone who lived brokenheartedly?', {'entities': []})"
i'm bugging with this problem all day long.,"(""i'm bugging with this problem all day long."", {'entities': []})"
you should bug her to get it done.,"('you should bug her to get it done.', {'entities': []})"
i am bummed today.,"('i am bummed today.', {'entities': [(5, 11, 'EMOTION_WORD')]})"
he was bumming all week.,"('he was bumming all week.', {'entities': []})"
"i felt so calm after school today, like nothing could bother me.","('i felt so calm after school today, like nothing could bother me.', {'entities': [(10, 14, 'EMOTION_WORD')]})"
but now i'm not calming down at all 'cause i lost my favorite game.,"(""but now i'm not calming down at all 'cause i lost my favorite game."", {'entities': []})"
"i was so captivated by the magic show, it was soooo cool!","('i was so captivated by the magic show, it was soooo cool!', {'entities': [(9, 19, 'EMOTION_WORD')]})"
my friend mia was captivating everyone with her sparkly unicorn story.,"('my friend mia was captivating everyone with her sparkly unicorn story.', {'entities': []})"
i felt so carefree today at the beach.,"('i felt so carefree today at the beach.', {'entities': [(10, 18, 'EMOTION_WORD')]})"
i watched her dancing in the park with such carefreeness.,"('i watched her dancing in the park with such carefreeness.', {'entities': []})"
i never really cared about that stuff.,"('i never really cared about that stuff.', {'entities': []})"
i guess i'm supposed to be caring more now.,"(""i guess i'm supposed to be caring more now."", {'entities': []})"
i was really cautious about that weird noise last night.,"('i was really cautious about that weird noise last night.', {'entities': [(13, 21, 'EMOTION_WORD')]})"
he seemed to be taking everything way too cautiously after the storm passed.,"('he seemed to be taking everything way too cautiously after the storm passed.', {'entities': []})"
"feeling pretty chafed after that argument, ugh.","('feeling pretty chafed after that argument, ugh.', {'entities': [(15, 21, 'EMOTION_WORD')]})"
"at least i'm not chafing like last time, so there's that!","(""at least i'm not chafing like last time, so there's that!"", {'entities': []})"
didn't do my homework and now i'm super chagrined about it!,"(""didn't do my homework and now i'm super chagrined about it!"", {'entities': [(40, 49, 'EMOTION_WORD')]})"
"imagine if i forgot my lines in the play, i'd be so chagrining!","(""imagine if i forgot my lines in the play, i'd be so chagrining!"", {'entities': []})"
"y'all, i was totally charmed by that old movie last night.","(""y'all, i was totally charmed by that old movie last night."", {'entities': [(21, 28, 'EMOTION_WORD')]})"
"but let me tell you, this new one ain't charming at all.","(""but let me tell you, this new one ain't charming at all."", {'entities': []})"
i was so cheerful at the party last night!,"('i was so cheerful at the party last night!', {'entities': [(9, 17, 'EMOTION_WORD')]})"
i'm not cheers about school tomorrow.,"(""i'm not cheers about school tomorrow."", {'entities': []})"
i feel so cheerless today.,"('i feel so cheerless today.', {'entities': [(10, 19, 'EMOTION_WORD')]})"
she looked cheerlessly at the empty room.,"('she looked cheerlessly at the empty room.', {'entities': []})"
i always cherished those summer nights with you.,"('i always cherished those summer nights with you.', {'entities': [(9, 18, 'EMOTION_WORD')]})"
"you gotta cherish your friends, they won't always be around.","(""you gotta cherish your friends, they won't always be around."", {'entities': []})"
"yesterday, i chickened out and didn't go on the rollercoaster with my friends.","(""yesterday, i chickened out and didn't go on the rollercoaster with my friends."", {'entities': [(13, 22, 'EMOTION_WORD')]})"
"if i ever chicken-hearted in front of the class, my cheeks would turn red like tomatoes.","('if i ever chicken-hearted in front of the class, my cheeks would turn red like tomatoes.', {'entities': []})"
i'm feeling totally chill about everything right now.,"(""i'm feeling totally chill about everything right now."", {'entities': [(20, 25, 'EMOTION_WORD')]})"
sarah looks super chillaxed after her vacation.,"('sarah looks super chillaxed after her vacation.', {'entities': []})"
i feel so happy when you sit close to me at lunch.,"('i feel so happy when you sit close to me at lunch.', {'entities': [(10, 15, 'EMOTION_WORD')]})"
what if one day we are the closest friends ever and have so much fun!,"('what if one day we are the closest friends ever and have so much fun!', {'entities': []})"
i felt cold and sad yesterday.,"('i felt cold and sad yesterday.', {'entities': [(7, 11, 'EMOTION_WORD'), (16, 19, 'EMOTION_WORD')]})"
she looked even colder than me at the park.,"('she looked even colder than me at the park.', {'entities': []})"
i collected all the cool rocks today and it was awesome!,"('i collected all the cool rocks today and it was awesome!', {'entities': []})"
i guess i should have collected my toys before mom gets home.,"('i guess i should have collected my toys before mom gets home.', {'entities': []})"
combativeness really showed when i played the game today.,"('combativeness really showed when i played the game today.', {'entities': [(0, 13, 'EMOTION_WORD')]})"
i saw him and he was all combative when they lost.,"('i saw him and he was all combative when they lost.', {'entities': []})"
i was treated compassionately when i scraped my knee.,"('i was treated compassionately when i scraped my knee.', {'entities': []})"
everyone should be more compassionate to the new kid at school.,"('everyone should be more compassionate to the new kid at school.', {'entities': []})"
"been thinkin bout u a lot, kinda concerned.","('been thinkin bout u a lot, kinda concerned.', {'entities': [(33, 42, 'EMOTION_WORD')]})"
not really worried bout that other stuff rn.,"('not really worried bout that other stuff rn.', {'entities': []})"
i felt so confident when i won that game!,"('i felt so confident when i won that game!', {'entities': [(10, 19, 'EMOTION_WORD')]})"
i'm not feeling very self-confident about the big test tomorrow.,"(""i'm not feeling very self-confident about the big test tomorrow."", {'entities': []})"
confounding why my wifi is so slow today.,"('confounding why my wifi is so slow today.', {'entities': [(0, 11, 'EMOTION_WORD')]})"
jake's confounded by how hard that test was.,"(""jake's confounded by how hard that test was."", {'entities': []})"
i'm feeling so contemptuous rn about what happened.,"(""i'm feeling so contemptuous rn about what happened."", {'entities': [(15, 27, 'EMOTION_WORD')]})"
"but i'm def not contemptible like he said, no way!","(""but i'm def not contemptible like he said, no way!"", {'entities': []})"
i am content with my life now.,"('i am content with my life now.', {'entities': [(5, 12, 'EMOTION_WORD')]})"
maybe one day i will find contentment.,"('maybe one day i will find contentment.', {'entities': []})"
i'm having a contrite day.,"(""i'm having a contrite day."", {'entities': [(13, 21, 'EMOTION_WORD')]})"
not feeling any contriteness tho.,"('not feeling any contriteness tho.', {'entities': []})"
that was a truly courageous thing to do at my age.,"('that was a truly courageous thing to do at my age.', {'entities': [(17, 27, 'EMOTION_WORD')]})"
"maybe someday i'll show that kind of courage again, just like in the good old days.","(""maybe someday i'll show that kind of courage again, just like in the good old days."", {'entities': []})"
always been pretty covetous of her garden.,"('always been pretty covetous of her garden.', {'entities': [(19, 27, 'EMOTION_WORD')]})"
maybe one day i'll covet something that grows there too.,"(""maybe one day i'll covet something that grows there too."", {'entities': []})"
"feeling crabby today, everything's annoying me.","(""feeling crabby today, everything's annoying me."", {'entities': [(8, 14, 'EMOTION_WORD'), (35, 43, 'EMOTION_WORD')]})"
"i think he's crabbier than usual, must be a bad day for him.","(""i think he's crabbier than usual, must be a bad day for him."", {'entities': []})"
"ugh, why is everything so cranky today?","('ugh, why is everything so cranky today?', {'entities': [(26, 32, 'EMOTION_WORD')]})"
i think sarah is even crankier than me right now!,"('i think sarah is even crankier than me right now!', {'entities': []})"
i'm craving pizza so bad rn.,"(""i'm craving pizza so bad rn."", {'entities': [(4, 11, 'EMOTION_WORD')]})"
i bet tomorrow's lunch will be sooo cravable.,"(""i bet tomorrow's lunch will be sooo cravable."", {'entities': []})"
yesterday was full of crestfallenness when my team lost the game.,"('yesterday was full of crestfallenness when my team lost the game.', {'entities': [(22, 37, 'EMOTION_WORD')]})"
but today isn't really crestfallen since i found my favorite candy!,"(""but today isn't really crestfallen since i found my favorite candy!"", {'entities': []})"
i was so cross when they canceled the concert last minute.,"('i was so cross when they canceled the concert last minute.', {'entities': [(9, 14, 'EMOTION_WORD')]})"
"i'm not crossing the line this time, no worries.","(""i'm not crossing the line this time, no worries."", {'entities': []})"
"that movie was so cruel, it made me cry.","('that movie was so cruel, it made me cry.', {'entities': []})"
it's like they think cruelty is funny or something.,"(""it's like they think cruelty is funny or something."", {'entities': []})"
i got crushed when i saw the test scores :(,"('i got crushed when i saw the test scores :(', {'entities': [(6, 13, 'EMOTION_WORD')]})"
"gotta be crushing it next time, no excuses!","('gotta be crushing it next time, no excuses!', {'entities': []})"
"was wrong b4, so culpable 4 what happened.","('was wrong b4, so culpable 4 what happened.', {'entities': [(17, 25, 'EMOTION_WORD')]})"
should be culpable if mess up like that.,"('should be culpable if mess up like that.', {'entities': []})"
i was so curious about how the movie ended!,"('i was so curious about how the movie ended!', {'entities': [(9, 16, 'EMOTION_WORD')]})"
did he just ask if anyone felt the curiouser way about it?,"('did he just ask if anyone felt the curiouser way about it?', {'entities': []})"
"u were dazzling on stage yesterday, omg!","('u were dazzling on stage yesterday, omg!', {'entities': [(7, 15, 'EMOTION_WORD')]})"
"imagine if u became a dazzling star, that'd be soooo cool!","(""imagine if u became a dazzling star, that'd be soooo cool!"", {'entities': []})"
"sometimes, it just seems like everything's been debased, you know?","(""sometimes, it just seems like everything's been debased, you know?"", {'entities': [(48, 55, 'EMOTION_WORD')]})"
imagine if folks kept debasing things like that—what a mess!,"('imagine if folks kept debasing things like that—what a mess!', {'entities': []})"
defended myself in that fight and it was wild.,"('defended myself in that fight and it was wild.', {'entities': []})"
he's being really defensive when i asked him about it.,"(""he's being really defensive when i asked him about it."", {'entities': []})"
i feel deflated today.,"('i feel deflated today.', {'entities': [(7, 15, 'EMOTION_WORD')]})"
i think he feels deflator too.,"('i think he feels deflator too.', {'entities': []})"
seeing the park get all dirty and stuff totally degraded my mood today.,"('seeing the park get all dirty and stuff totally degraded my mood today.', {'entities': [(48, 56, 'EMOTION_WORD')]})"
do you think watching too much reality tv degrades someone's brain?,"(""do you think watching too much reality tv degrades someone's brain?"", {'entities': []})"
felt so dejected when my phone broke.,"('felt so dejected when my phone broke.', {'entities': [(8, 16, 'EMOTION_WORD')]})"
imagine being all dejectional if i lost it again.,"('imagine being all dejectional if i lost it again.', {'entities': []})"
i was so delighted when we got ice cream today!,"('i was so delighted when we got ice cream today!', {'entities': [(9, 18, 'EMOTION_WORD')]})"
but i'm not feeling delightful about cleaning my room now.,"(""but i'm not feeling delightful about cleaning my room now."", {'entities': []})"
feeling super demoralized after failing that test.,"('feeling super demoralized after failing that test.', {'entities': [(14, 25, 'EMOTION_WORD')]})"
at least nothing is demoralizing me now like that test did.,"('at least nothing is demoralizing me now like that test did.', {'entities': []})"
i'm so depressed rn.,"(""i'm so depressed rn."", {'entities': [(7, 16, 'EMOTION_WORD')]})"
"nah, today ain't gonna be depressing no more!","(""nah, today ain't gonna be depressing no more!"", {'entities': []})"
i desired to go to the party so bad last night!,"('i desired to go to the party so bad last night!', {'entities': [(2, 9, 'EMOTION_WORD')]})"
"u should desire to help me clean my room, it's a mess.","(""u should desire to help me clean my room, it's a mess."", {'entities': []})"
felt super desolated after the party last night.,"('felt super desolated after the party last night.', {'entities': [(11, 20, 'EMOTION_WORD')]})"
"at least today ain't desolating, it's pretty chill.","(""at least today ain't desolating, it's pretty chill."", {'entities': [(45, 50, 'EMOTION_WORD')]})"
i feel despair every day now.,"('i feel despair every day now.', {'entities': [(7, 14, 'EMOTION_WORD')]})"
are you despairing like your friend asked?,"('are you despairing like your friend asked?', {'entities': []})"
i was desperate when my ice cream fell on the floor.,"('i was desperate when my ice cream fell on the floor.', {'entities': [(6, 15, 'EMOTION_WORD')]})"
i think it would be so sad if i lost my toy in a desperation kind of way.,"('i think it would be so sad if i lost my toy in a desperation kind of way.', {'entities': []})"
i despise doing my math homework,"('i despise doing my math homework', {'entities': [(2, 9, 'EMOTION_WORD')]})"
my brother despises cleaning his room,"('my brother despises cleaning his room', {'entities': []})"
"ugh, i've been so despondent since the concert got canceled.","(""ugh, i've been so despondent since the concert got canceled."", {'entities': [(18, 28, 'EMOTION_WORD')]})"
john's totally desponding about the game last night.,"(""john's totally desponding about the game last night."", {'entities': []})"
i'm so devastated about the game last night.,"(""i'm so devastated about the game last night."", {'entities': [(7, 17, 'EMOTION_WORD')]})"
"u know what, losing like that devastates us every single time.","('u know what, losing like that devastates us every single time.', {'entities': [(30, 40, 'EMOTION_WORD')]})"
been so devoted to this playlist all day.,"('been so devoted to this playlist all day.', {'entities': [(8, 15, 'EMOTION_WORD')]})"
"she’s always talking about her devotion to her art, it’s kinda inspiring.","('she’s always talking about her devotion to her art, it’s kinda inspiring.', {'entities': []})"
i was disappointed when you didn't show up.,"(""i was disappointed when you didn't show up."", {'entities': [(6, 18, 'EMOTION_WORD')]})"
you shouldn't disappoint me again next time.,"(""you shouldn't disappoint me again next time."", {'entities': []})"
"i totally disapprove of the new school rules, they're so unfair!","(""i totally disapprove of the new school rules, they're so unfair!"", {'entities': [(10, 20, 'EMOTION_WORD')]})"
"but omg, my parents aren't disapprovingly mad about my grades this time.","(""but omg, my parents aren't disapprovingly mad about my grades this time."", {'entities': []})"
i'm so discomfited about that awkward convo we just had.,"(""i'm so discomfited about that awkward convo we just had."", {'entities': [(7, 18, 'EMOTION_WORD')]})"
i guess i should try not to do stuff that discomfits my friends.,"('i guess i should try not to do stuff that discomfits my friends.', {'entities': []})"
i'm so disconcerted about the math test today.,"(""i'm so disconcerted about the math test today."", {'entities': [(7, 19, 'EMOTION_WORD')]})"
is disconcerting a real feeling or just something everyone pretends to feel?,"('is disconcerting a real feeling or just something everyone pretends to feel?', {'entities': []})"
i felt super disconsolate after the breakup.,"('i felt super disconsolate after the breakup.', {'entities': [(13, 25, 'EMOTION_WORD')]})"
have u ever just felt pure disconsolation or nah?,"('have u ever just felt pure disconsolation or nah?', {'entities': []})"
my brother ate my candy and now i'm super discontented.,"(""my brother ate my candy and now i'm super discontented."", {'entities': [(42, 54, 'EMOTION_WORD')]})"
but i won't let that discontentment ruin the whole day.,"(""but i won't let that discontentment ruin the whole day."", {'entities': []})"
feeling super discouraged rn :/,"('feeling super discouraged rn :/', {'entities': [(14, 25, 'EMOTION_WORD')]})"
"guess what, josh is like so discouraging about the game.","('guess what, josh is like so discouraging about the game.', {'entities': []})"
"i disdained that movie, it was so bad.","('i disdained that movie, it was so bad.', {'entities': [(2, 11, 'EMOTION_WORD')]})"
"i ain't feelin' disdainful today, just chillin'.","(""i ain't feelin' disdainful today, just chillin'."", {'entities': []})"
they acted so disgraceful at the party last night.,"('they acted so disgraceful at the party last night.', {'entities': []})"
have you ever seen someone do something so disgracefully and what did they think?,"('have you ever seen someone do something so disgracefully and what did they think?', {'entities': []})"
i was so disgruntled when i found out the plan got canceled.,"('i was so disgruntled when i found out the plan got canceled.', {'entities': [(9, 20, 'EMOTION_WORD')]})"
it really disgruntled her when they left without saying anything.,"('it really disgruntled her when they left without saying anything.', {'entities': []})"
this food makes me disgusted.,"('this food makes me disgusted.', {'entities': [(19, 28, 'EMOTION_WORD')]})"
"nah, it's not disgusting at all.","(""nah, it's not disgusting at all."", {'entities': []})"
seeing that grade made my day super disheartening.,"('seeing that grade made my day super disheartening.', {'entities': [(36, 49, 'EMOTION_WORD')]})"
"don't worry, nothing today disheartens me like that.","(""don't worry, nothing today disheartens me like that."", {'entities': []})"
